articleCode,articleName,VendorKey,VendorName,categoryInit,categoryName,TypeInit,TypeName,startDate,expireDate,colourInit,colourName,sex,picture,basePrice,salePrice,notes
16FBLO-U1114005,HT HOVEY 01,CLR,COOLROAM,3,HAT,5,BUCKET HAT,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,13,DARK GREEN,U,-,73500,105000,-
16FBLO-U1114007,HT HOVEY 03,CLR,COOLROAM,3,HAT,5,BUCKET HAT,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,20,GREEN ARMY,U,-,73500,105000,-
16IBLO-KD0120003,TK SPLIT 04,CLR,COOLROAM,11,T-SHIRT,1,CASUAL,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,1,BLACK,KD,-,52500,75000,-
16IBLO-M0112006,T GUERRA 05,CLR,COOLROAM,11,T-SHIRT,2,LONG SLEEVE,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,1,BLACK,M,-,87500,125000,-
16IBLO-M0117034,T BEYOND 03,CLR,COOLROAM,11,T-SHIRT,1,CASUAL,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,26,MISTY GREY,M,-,77000,110000,-
16IBLO-U3001001,SC COVIN 01,CLR,COOLROAM,1,ACCESSORIES,9,SOCKS,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,37,WHITE,U,-,45500,65000,-
16JBLO-F0705003,WL JENNER 02,CLR,COOLROAM,12,WALLET,1,GENERAL,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,7,BROWN,F,-,77000,110000,-
16JBLO-M0104003,R MOUSER,CLR,COOLROAM,11,T-SHIRT,3,REGLAN,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,126,MISTY BLACK,M,-,87500,125000,-
16JBLO-M0117003,T PLACKET 09,CLR,COOLROAM,11,T-SHIRT,1,CASUAL,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,1,BLACK,M,-,77000,110000,-
16JBLO-M0117014,T PLACKET 11,CLR,COOLROAM,11,T-SHIRT,1,CASUAL,2020-01-17 00:00:00.000,2020-05-16 00:00:00.000,28,NAVY BLUE,M,-,77000,110000,-
