noTrans,ArticleCode,Barcode,sizes,qty,basePrice,salePrice,DiscountType,discountPersen,discountRupiah,DiscExpenses,consignment,consignmentRp,subTotal,payment
01SCS19E010001,BSC.AR-QG0007,00ARQG0093,ALL,1,80000,225000,2,0,125000,1,0,20000,100000,80000
01SCS19E010001,BSC.AR-QG0010,00ARQG0099,ALL,1,80000,240000,2,0,140000,1,0,20000,100000,80000
01SCS19E010001,ESH.AR-QL0004,00ARQL0020,L,1,42000,135000,2,0,67500,1,0,13500,67500,54000
01SCS19E010001,ESH.AR-RE0004,00ARRE0013,S,1,42000,135000,2,0,67500,1,0,13500,67500,54000
01SCS19E010002,ESH.AR-RG0005,00ARRG0100,S,1,94500,135000,2,0,40500,1,0,18900,94500,75600
01SCS19E010003,BSC.AR-SB0007,00ARSB0074,S,1,44500,135000,2,0,40500,1,0,18900,94500,75600
01SCS19E010003,BSC.AR-SC0048,00ARSC0304,S,1,44500,159000,2,0,47700,1,0,22260,111300,89040
01SCS19E010003,ESH.AR-QE0029,00ARQE0161,S,1,110000,325000,2,0,165000,1,0,32000,160000,128000
01SCS19E010004,AR.ASH-RJ014,20ARRJ0499,30,1,292500,450000,2,0,225000,1,0,56250,225000,168750
01SCS19E010004,AR.TUC-SA028,20ARSA0163,ALL,1,100750,155000,2,0,31000,1,0,31000,124000,93000
01SCS19E010004,ESH.AR-RG0004,00ARRG0010,S,1,90000,255000,2,0,76500,1,0,35700,178500,142800
01SCS19E010004,ESH.AR-RL0015,00ARRL0129,S,1,94500,135000,2,0,40500,1,0,18900,94500,75600
01SCS19E010004,ESH.AR-SC0033,00ARSC0284,S,1,44000,135000,2,0,40500,1,0,18900,94500,75600
01SCS19E010005,AR.MKV-SC015,20ARSC0215,XL,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E010006,BSC.AR-SA0015,00ARSA0045,L,1,44500,135000,2,0,40500,1,0,18900,94500,75600
01SCS19E010007,BSC.AR-RJ0024,00ARRJ0134,XL,1,43000,135000,2,0,40500,1,0,18900,94500,75600
01SCS19E010008,ARN.AR-SB0001,00ARSB0086,NON,1,107400,179000,2,0,35800,1,0,42960,143200,100240
01SCS19E010009,AR.ESB-SC018,20ARSC0466,L,1,91000,140000,2,0,28000,1,0,28000,112000,84000
01SCS19E010010,AR.KNR-RK006,20ARRK0269,S,1,136500,210000,2,0,63000,1,0,36750,147000,110250
01SCS19E010011,ESH.AR-SC0034,00ARSC0294,L,1,125000,315000,2,0,94500,1,0,44100,220500,176400
01SCS19E010012,BSC.AR-RJ0032,00ARRJ0215,NON,1,18000,75000,2,0,22500,1,0,10500,52500,42000
01SCS19E010012,BSC.AR-SA0009,00ARSA0035,NON,1,47500,140000,2,0,42000,1,0,19600,98000,78400
01SCS19E010012,BSC.AR-SC0050,00ARSC0313,M,1,44000,159000,2,0,47700,1,0,22260,111300,89040
01SCS19E010012,ESH.AR-QG0007,00ARQG0098,ALL,1,70000,205000,2,0,105000,1,0,20000,100000,80000
01SCS19E010012,ESH.AR-QL0004,00ARQL0020,L,1,42000,135000,2,0,67500,1,0,13500,67500,54000
01SCS19E010012,ESH.AR-RE0005,00ARRE0019,L,1,42000,135000,2,0,67500,1,0,13500,67500,54000
