articleCode,barcode,sizes,CurrentBasePrice,CurrentSalePrice,consignment,consignmentRp,qty,status
16FBLO-U1114005,00BLPF1083,ALL,73500,105000,0,31500,3,1
16FBLO-U1114007,00BLPF1085,ALL,73500,105000,0,31500,2,1
16IBLO-KD0120003,00BLPI0462,S,52500,75000,0,22500,1,1
16IBLO-KD0120003,00BLPI0463,M,52500,75000,0,22500,2,1
16IBLO-M0112006,00BLPI0590,S,87500,125000,0,37500,0,1
16IBLO-M0112006,00BLPI0592,L,87500,125000,0,37500,1,1
16IBLO-M0112006,00BLPI0593,XL,87500,125000,0,37500,0,1
16IBLO-M0117034,00BLPI0585,M,77000,110000,0,33000,1,1
16IBLO-M0117034,00BLPI0586,L,77000,110000,0,33000,0,1
16IBLO-M0117034,00BLPI0587,XL,77000,110000,0,33000,1,1
16IBLO-U3001001,00BLPI0213,ALL,45500,65000,0,19500,1,1
16JBLO-F0705003,00BLPJ0104,NON,77000,110000,0,33000,3,1
16JBLO-M0104003,00BLPJ0373,S,87500,125000,0,37500,1,1
16JBLO-M0104003,00BLPJ0374,M,87500,125000,0,37500,1,1
16JBLO-M0104003,00BLPJ0375,L,87500,125000,0,37500,1,1
16JBLO-M0104003,00BLPJ0376,XL,87500,125000,0,37500,0,1
16JBLO-M0117003,00BLPJ0120,S,77000,110000,0,33000,1,1
16JBLO-M0117003,00BLPJ0121,M,77000,110000,0,33000,2,1
16JBLO-M0117003,00BLPJ0122,L,77000,110000,0,33000,1,1
16JBLO-M0117003,00BLPJ0123,XL,77000,110000,0,33000,1,1
16JBLO-M0117014,00BLPJ0392,M,77000,110000,0,33000,1,1
16JBLO-M0117014,00BLPJ0393,L,77000,110000,0,33000,1,1
16JBLO-M0117014,00BLPJ0394,XL,77000,110000,0,33000,1,1
16JBLO-M0117020,00BLPJ0520,S,77000,110000,0,33000,1,1
16JBLO-M0117020,00BLPJ0521,M,77000,110000,0,33000,1,1
16JBLO-M0117020,00BLPJ0522,L,77000,110000,0,33000,1,1
16JBLO-M0117020,00BLPJ0523,XL,77000,110000,0,33000,1,1
16JBLO-M0117027,00BLPJ0655,XS,77000,110000,0,33000,1,1
16JBLO-M0117027,00BLPJ0656,S,77000,110000,0,33000,1,1
16JBLO-M0117027,00BLPJ0657,M,77000,110000,0,33000,4,1
16JBLO-M0117027,00BLPJ0658,L,77000,110000,0,33000,2,1
16JBLO-M0117027,00BLPJ0659,XL,77000,110000,0,33000,2,1
16JBLO-M0203005,00BLPJ0714,S,105000,150000,0,45000,1,1
16JBLO-M0203005,00BLPJ0716,L,105000,150000,0,45000,1,1
16JBLO-M0203005,00BLPJ0717,XL,105000,150000,0,45000,1,1
16JBLO-M0604006,00BLPJ0179,S,164500,235000,0,70500,1,1
16JBLO-M0604006,00BLPJ0180,M,164500,235000,0,70500,1,1
16JBLO-M0604006,00BLPJ0181,L,164500,235000,0,70500,1,1
16JBLO-M0802010,00BLPJ0673,S,178500,255000,0,76500,1,1
16JBLO-M0802010,00BLPJ0674,M,178500,255000,0,76500,1,1
16JBLO-M0802010,00BLPJ0675,L,178500,255000,0,76500,1,1
16JBLO-U0401001,00BLPJ0405,NON,105000,150000,0,45000,3,1
16JBLO-U0401002,00BLPJ0406,NON,105000,150000,0,45000,3,1
16JBLO-U0401003,00BLPJ0407,NON,105000,150000,0,45000,3,1
16JBLO-U0401004,00BLPJ0592,NON,150500,215000,0,64500,2,1
16JBLO-U0407011,00BLPJ0258,NON,136500,195000,0,58500,3,1
16JBLO-U0407014,00BLPJ0265,NON,140000,200000,0,60000,3,1
16JBLO-U0407015,00BLPJ0266,NON,126000,180000,0,54000,1,1
16JBLO-U0407030,00BLPJ0560,NON,129500,185000,0,55500,2,1
16JBLO-U1004004,00BLPJ0708,M,63000,90000,0,27000,2,1
16JBLO-U1102003,00BLPJ0399,ALL,70000,100000,0,30000,2,1
16JBLO-U1103001,00BLPJ0091,ALL,70000,100000,0,30000,2,1
16JBLO-U1107008,00BLPJ0404,ALL,77000,110000,0,33000,2,1
16JBLO-U3302001,00BLPJ0623,NON,105000,150000,0,45000,2,1
16KBLO-U0406002,00BLPK0162,NON,49000,70000,0,21000,3,1
16KBLO-U0406003,00BLPK0163,NON,49000,70000,0,21000,2,1
16KBLO-U0407002,00BLPK0039,NON,140000,200000,0,60000,3,1
AGA-PI0001,2016I00039,ALL,178750,275000,30,96250,0,0
AGA-PI0002,2016I00040,ALL,178750,275000,30,96250,0,0
AGA-PI0003,2016I00041,ALL,178750,275000,30,96250,0,0
AGA-PI0004,2016I00042,ALL,178750,275000,30,96250,0,0
AGA-PI0005,2016I00043,ALL,178750,275000,30,96250,0,0
AGA-PI0006,2016I00044,ALL,178750,275000,30,96250,0,0
AGA-PI0007,2016I00045,ALL,97500,150000,30,52500,0,0
AGA-PI0008,2016I00046,ALL,97500,150000,30,52500,0,0
AGA-PI0009,2016I00047,ALL,97500,150000,30,52500,0,0
AGA-PI0010,2016I00048,ALL,97500,150000,30,52500,0,0
AGA-PI0011,2016I00049,ALL,97500,150000,30,52500,0,0
AGA-PI0012,2016I00050,ALL,97500,150000,30,52500,0,0
AGA-PI0013,2016I00051,S,97500,150000,30,52500,0,0
AGA-PI0013,2016I00052,M,97500,150000,30,52500,0,0
AGA-PI0013,2016I00053,L,97500,150000,30,52500,0,0
AGA-PI0013,2016I00054,XL,97500,150000,30,52500,0,0
AGA-PI0014,2016I00055,S,97500,150000,30,52500,0,0
AGA-PI0014,2016I00056,M,97500,150000,30,52500,0,0
AGA-PI0014,2016I00057,L,97500,150000,30,52500,0,0
AGA-PI0014,2016I00058,XL,97500,150000,30,52500,0,0
AGA-PI0015,2016I00059,S,97500,150000,30,52500,0,0
AGA-PI0015,2016I00060,M,97500,150000,30,52500,0,0
AGA-PI0015,2016I00061,L,97500,150000,30,52500,0,0
AGA-PI0015,2016I00062,XL,97500,150000,30,52500,0,0
AGA-PI0016,2016I00063,40,129350,199000,30,69650,0,0
AGA-PI0016,2016I00064,41,129350,199000,30,69650,0,0
AGA-PI0016,2016I00065,42,129350,199000,30,69650,0,0
AGA-PI0017,2016I00066,40,129350,199000,30,69650,0,0
AGA-PI0017,2016I00067,41,129350,199000,30,69650,0,0
AGA-PI0017,2016I00068,42,129350,199000,30,69650,0,0
AGA-PI0018,2016I00069,S,130000,200000,30,70000,0,0
AGA-PI0018,2016I00070,M,130000,200000,30,70000,0,0
AGA-PI0018,2016I00071,L,130000,200000,30,70000,0,0
AGA-PI0018,2016I00072,XL,130000,200000,30,70000,0,0
AGA-PI0019,2016I00073,S,130000,200000,30,70000,0,0
AGA-PI0019,2016I00074,M,130000,200000,30,70000,0,0
AGA-PI0019,2016I00075,L,130000,200000,30,70000,0,0
AGA-PI0019,2016I00076,XL,130000,200000,30,70000,0,0
AGA-PI0020,2016I00077,S,130000,200000,30,70000,0,0
AGA-PI0020,2016I00078,M,130000,200000,30,70000,0,0
AGA-PI0020,2016I00079,L,130000,200000,30,70000,0,0
AGA-PI0020,2016I00080,XL,130000,200000,30,70000,0,
AGA-PI0021,2016I00081,S,169000,260000,30,91000,0,0
AGA-PI0021,2016I00082,M,169000,260000,30,91000,0,0
